STREET ID,STREET,FROM,TO,PCI
38,ALMA STREET,HAMILTON AVENUE,FOREST AVENUE,100
39,ALMA STREET,FOREST AVENUE,HOMER AVENUE,100
40,ALMA STREET,HOMER AVENUE,CHANNING AVENUE,100
41,ALMA STREET,CHANNING AVENUE,ADDISON AVENUE,100
42,ALMA STREET,ADDISON AVENUE,LINCOLN AVENUE,100
43,ALMA STREET,LINCOLN AVENUE,KINGSLEY AVENUE,100
44,ALMA STREET,KINGSLEY AVENUE,MELVILLE AVENUE,100
45,ALMA STREET,MELVILLE AVENUE,KELLOGG AVENUE,96
46,ALMA STREET,KELLOGG AVENUE,CHURCHILL  AVENUE,96
47,ALMA STREET,CHURCHILL AVENUE,COLERIDGE  AVENUE,96
48,ALMA STREET,COLERIDGE AVENUE,LOWELL AVENUE,96
49,ALMA STREET,LOWELL AVENUE,TENNYSON AVENUE,96
50,ALMA STREET,TENNYSON AVENUE,SEALE AVENUE,96
51,ALMA STREET,SEALE AVENUE,RINCONADA  AVENUE,96
52,ALMA STREET,RINCONADA  AVENUE,SANTA RITA  AVENUE,96
53,ALMA STREET,SANTA RITA AVENUE,WASHINGTON  AVENUE,96
54,ALMA STREET,N CALIFORNIA  AVENUE,WASHINGTON  AVENUE,96
55,ALMA STREET,COLORADO AVENUE,N CALIFORNIA  AVENUE,96
56,ALMA STREET,EL DORADO AVENUE,COLORADO  AVENUE,91
57,ALMA STREET,EL CARMELO  AVENUE,EL DORADO  AVENUE,91
58,ALMA STREET,EL CARMELO  AVENUE,LOMA VERDE  AVENUE,91
59,ALMA STREET,LOMA VERDE  AVENUE,EL VERANO  AVENUE,91
60,ALMA STREET,EL VERANO AVENUE,EAST MEADOW  DRIVE,91
61,ALMA STREET,EAST MEADOW  DRIVE,LINDERO DRIVE,91
62,ALMA STREET,LINDERO DRIVE,CHARLESTON  ROAD,91
63,ALMA STREET,CHARLESTON ROAD,ELY PLACE,91
64,ALMA STREET,ELY PLACE,GREENMEADOW  WAY,91
65,ALMA STREET,GREENMEADOW  WAY,FERNE AVENUE,91
66,ALMA STREET,FERNE AVENUE,SAN ANTONIO  AVENUE,91
67,ALMA STREET,SAN ANTONIO  AVENUE,CITY LIMIT,91
68,ALTA MESA  AVENUE,IRVEN COURT,ARASTRADERO  ROAD,72
69,AMARANTA  AVENUE,LOS ROBLES  AVENUE,ENCINA GRANDE  DRIVE,91
70,AMARANTA  AVENUE,ENCINA GRANDE  DRIVE,CEREZA DRIVE,91
71,AMARANTA  AVENUE,CEREZA DRIVE,FLORALES DRIVE,91
72,AMARANTA  AVENUE,FLORALES DRIVE,GEORGIA AVENUE,91
73,AMARANTA  AVENUE,GEORGIA AVENUE,AMARANTA COURT,91
74,AMARANTA  AVENUE,AMARANTA COURT,MAYBELL AVENUE,91
75,AMARANTA COURT,AMARANTA AVENUE,END,92
76,AMARILLO AVENUE,LOUIS ROAD,GREER ROAD,81
77,AMARILLO AVENUE,GREER ROAD,TANLAND DRIVE,86
78,AMARILLO AVENUE,TANLAND DRIVE,TANLAND DRIVE,92
79,AMARILLO AVENUE,TANLAND DRIVE,W. BAYSHORE  ROAD,92
80,AMES AVENUE,MIDDLEFIELD ROAD,HOLLY OAK DRIVE,83
81,AMES AVENUE,HOLLY OAK DRIVE,CORK OAK WAY,88
82,AMES AVENUE,CORK OAK WAY,HOLLY OAK DRIVE,91
83,AMES AVENUE,HOLLY OAK DRIVE,ROSS ROAD,92
84,AMES AVENUE,ROSS ROAD,RORKE WAY,97
85,AMES AVENUE,RORKE WAY,RORKE WAY,92
86,AMES AVENUE,RORKE WAY,AMES COURT,97
87,AMES AVENUE,AMES COURT,LOUIS ROAD,97
88,AMES COURT,AMES AVENUE,END,92
89,AMHERST STREET,STANFORD AVENUE,COLLEGE AVENUE,93
90,AMHERST STREET,COLLEGE AVENUE,CALIFORNIA  AVENUE,92
91,ANTON COURT,COWPER STREET,END,91
92,ARASTRADERO  ROAD,CITY LIMIT,CABALLO LANE,71
93,ARASTRADERO  ROAD,CABALLO LANE,CITY LIMIT,22
94,ARASTRADERO  ROAD,CITY LIMIT,DEER CREEK ROAD,95
95,ARASTRADERO  ROAD,DEER CREEK ROAD,HILLVIEW AVENUE,96
96,ARASTRADERO  ROAD,HILLVIEW AVENUE,OLD ADOBE ROAD,96
97,ARASTRADERO  ROAD,OLD ADOBE ROAD,OLD TRACE ROAD,96
98,ARASTRADERO  ROAD,OLD TRACE ROAD,FOOTHILL  EXPRESSWAY,96
99,ARASTRADERO  ROAD,FOOTHILL  EXPRESSWAY,GEORGIA AVENUE,81
100,ARASTRADERO  ROAD,GEORGIA AVENUE,HUBBARTT DRIVE,76
101,ARASTRADERO  ROAD,HUBBART DRIVE,WILLMAR DRIVE,78
102,ARASTRADERO  ROAD,WILLMAR DRIVE,DONALD DRIVE,79
103,ARASTRADERO  ROAD,DONALD DRIVE,KING ARTHUR'S  COURT,75
104,ARASTRADERO  ROAD,KING ARTHUR'S  COURT,POMONA AVENUE,67
105,ARASTRADERO  ROAD,POMONA AVENUE,CHERRY OAKS  PLACE,67
106,ARASTRADERO  ROAD,CHERRY OAKS PLCE,COULOMBE DRIVE,63
107,ARASTRADERO  ROAD,COLUMBE DRIVE,LOS PALOS  AVENUE,67
108,ARASTRADERO  ROAD,LOS PALOS AVENUE,CLEMO AVENUE,65
109,ARASTRADERO  ROAD,CLEMO AVENUE,SUZANNE DRIVE,63
110,ARASTRADERO  ROAD,SUZANNE DRIVE,MCKELLAR LANE,82
111,ARASTRADERO  ROAD,MCKELLAR LANE,EL CAMINO REAL,89
112,ARBOL DRIVE,LOS ROBLES  AVENUE,ENCINA GRANDE  DRIVE,83
113,ARBORETUM ROAD,SAND HILL ROAD,QUARRY ROAD,72
114,ARBORETUM ROAD,QUARRY ROAD,SAND HILL ROAD,70
115,ARBUTUS AVENUE,THORNWOOD DRIVE,TALISMAN DRIVE,87
116,ARBUTUS AVENUE,TALISMAN DRIVE,DRIFTWOOD DRIVE,91
117,ARBUTUS AVENUE,DRIFTWOOD DRIVE,EAST MEADOW  DRIVE,90
118,ARCADIA PLACE,NEWELL ROAD,END,79
119,ARROWHEAD WAY,INDIAN DRIVE,AZTEC WAY,81
120,ASH STREET,PARK AVENUE,LELAND AVENUE,76
121,ASH STREET,LELAND AVENUE,STANFORD AVENUE,86
122,ASH STREET,STANFORD AVENUE,OXFORD AVENUE,98
123,ASH STREET,OXFORD AVENUE,COLLEGE AVENUE,93
124,ASH STREET,CALIFORNIA  AVENUE,SHERMAN AVENUE,32
125,ASH STREET,SHERMAN AVENUE,GRANT AVENUE,37
126,ASH STREET,GRANT AVENUE,SHERIDAN AVENUE,47
127,ASH STREET,SHERIDAN AVENUE,PAGE MILL ROAD,50
128,ASH STREET,PAGE MILL ROAD,PEPPER AVENUE,87
129,ASH STREET,PEPPER AVENUE,OLIVE AVENUE,91
130,ASH STREET,PORTAGE AVENUE,LAMBERT AVENUE,92
131,ASH STREET,LAMBERT AVENUE,CHESTNUT AVENUE,82
132,ASHBY DRIVE,DANA AVENUE,DANA AVENUE,95
133,ASHTON AVENUE,COWPER STREET,ASHTON COURT,97
134,ASHTON AVENUE,ASHTON COURT,MURDOCH DRIVE,97
135,ASHTON AVENUE,MURDOCH DRIVE,MIDDLEFIELD ROAD,92
136,ASHTON COURT,ASHTON AVENUE,END,91
137,ASPEN WAY,EVERGREEN DRIVE,LOUIS ROAD,92
138,AVALON COURT,LOMA VERDE  AVENUE,END,83
139,AZTEC WAY,ARROWHEAD WAY,CARDINAL WAY,79
140,BAKER AVENUE,GEORGIA AVENUE,MAYBELL AVENUE,92
141,BANDERA DRIVE,ALEXIS DRIVE,END,95
142,BARBARA DRIVE,SEALE AVENUE,NORTH CALIFORNIA  AVENUE,93
143,BARCLAY COURT,WILKIE WAY,END,91
144,BARRON AVENUE,LAGUNA AVENUE,LA CALLE,100
145,BARRON AVENUE,LA CALLE,CARLITOS COURT,100
146,BARRON AVENUE,CARLITOS COURT,EL CENTRO STREET,100
147,BAUTISTA COURT,STOCKTON PLACE,END,82
148,BARRON AVENUE,EL CENTRO STREET,JOSINA AVENUE,100
149,BARRON AVENUE,JOSINA AVENUE,CASS WAY,93
150,BARRON AVENUE,CASS WAY,LA DONNA STREET,93
151,BARRON AVENUE,LA DONNA STREET,WHITSELL STREET,93
152,BARRON AVENUE,WHITSELL STREET,LA SELVA DRIVE,93
153,BARRON AVENUE,LA SELVA DRIVE,EL CAMINO REAL,93
154,EAST BAYSHORE  ROAD,CITY LIMIT,LAURA LANE,76
155,EAST BAYSHORE  ROAD,LAURA LANE,EMBARCADERO  ROAD,80
156,EAST BAYSHORE  ROAD,EMBARCADERO  ROAD,WATSON COURT,95
157,EAST BAYSHORE  ROAD,WATSON COURT,MATADERO CREEK,95
158,EAST BAYSHORE  ROAD,MATADERO CREEK,ADOBE CREEK,95
159,EAST BAYSHORE  ROAD,ADOBE CREEK,ELWELL COURT,93
160,EAST BAYSHORE  ROAD,ELWELL COURT,CORPORATION  WAY,96
161,EAST BAYSHORE  ROAD,CORPORATION WAY,SAN ANTONIO  AVENUE,95
162,WEST BAYSHORE  ROAD,CITY LIMIT,CHANNING AVENUE,96
163,WEST BAYSHORE  ROAD,CHANNING AVENUE,EMBARCADERO  ROAD,91
164,WEST BAYSHORE  ROAD,OREGON  EXPRESSWAY,CHABOT TERRACE,96
165,WEST BAYSHORE  ROAD,CHABOT TERRACE,AMARILLO AVENUE,96
166,WEST BAYSHORE  ROAD,AMARILLO AVENUE,COLORADO  AVENUE,96
167,WEST BAYSHORE  ROAD,COLORADO AVENUE,LOMA VERDE  AVENUE,91
168,WEST BAYSHORE  ROAD,LOMA VERDE  AVENUE,FABIAN WAY,96
169,BELLVIEW DRIVE,NORTH CALIFORNIA  AVENUE,END,83
170,BEN LOMOND  DRIVE,SCRIPPS AVENUE,SCRIPPS AVENUE,91
171,BIBBITS DRIVE,LOUIS ROAD,END,89
172,BIBBITS DRIVE,LOUIS ROAD,GAILEN AVENUE,84
173,BIRCH STREET,PARK BOULEVARD,LELAND AVENUE,64
174,BIRCH STREET,LELAND AVENUE,STANFORD AVENUE,53
175,BIRCH STREET,STANFORD AVENUE,OXFORD AVENUE,77
176,BIRCH STREET,OXFORD AVENUE,COLLEGE AVENUE,80
177,BIRCH STREET,COLLEGE AVENUE,CAMBRIDGE  AVENUE,69
178,BIRCH STREET,CAMBRIDGE  AVENUE,CALIFORNIA  AVENUE,77
179,BIRCH STREET,CALIFORNIA  AVENUE,SHERMAN AVENUE,90
180,BIRCH STREET,SHERMAN AVENUE,CALIFORNIA  AVENUE,90
181,BIRCH STREET,SHERMAN AVENUE,GRANT AVENUE,91
182,BIRCH STREET,GRANT AVENUE,SHERMAN AVENUE,91
183,BIRCH STREET,GRANT AVENUE,SHERIDAN AVENUE,91
184,BIRCH STREET,SHERIDAN AVENUE,GRANT AVENUE,91
185,BIRCH STREET,SHERIDAN AVENUE,OREGON RAMP,65
186,BIRCH STREET,OREGON RAMP,PAGE MILL ROAD,66
187,BIRCH STREET,LAMBERT AVENUE,CHESTNUT AVENUE,87
188,BIRCH STREET,CHESTNUT AVENUE,FERNANDO  AVENUE,76
189,BLAIR COURT,GREER ROAD,END,75
190,BOWDOIN STREET,STANFORD AVENUE,COLLEGE AVENUE,92
191,BOWDOIN STREET,COLLEGE AVENUE,CALIFORNIA  AVENUE,92
192,BOYCE AVENUE,FOREST AVENUE,FIFE AVENUE,97
193,BOYCE AVENUE,FIFE AVENUE,SENECA STREET,96
194,BOYCE AVENUE,SENECA STREET,GUINDA STREET,97
195,BRET HARTE  STREET,EMBARCADERO  ROAD,SEALE AVENUE,93
196,BRIARWOOD WAY,FERNE AVENUE,HEMLOCK COURT,97
197,BRIARWOOD WAY,HEMLOCK COURT,SAN ANTONIO  AVENUE,96
198,BRUCE DRIVE,MARSHALL DRIVE,LOUIS ROAD,87
199,BRYANT STREET,PALO ALTO AVENUE,HAWTHORNE  AVENUE,85
200,BRYANT STREET,HAWTHORNE  AVENUE,BRYANT COURT,85
201,BRYANT STREET,BRYANT COURT,EVERETT AVENUE,86
202,BRYANT STREET,EVERETT AVENUE,LYTTON AVENUE,91
203,BRYANT STREET,LYTTON AVENUE,UNIVERSITY  AVENUE,83
204,BRYANT STREET,UNIVERSITY  AVENUE,HAMILTON AVENUE,79
205,BRYANT STREET,HAMILTON AVENUE,FOREST AVENUE,52
206,BRYANT STREET,FOREST AVENUE,HOMER AVENUE,92
207,BRYANT STREET,HOMER AVENUE,CHANNING AVENUE,93
208,BRYANT STREET,CHANNING AVENUE,ADDISON AVENUE,69
209,BRYANT STREET,ADDISON AVENUE,LINCOLN AVENUE,81
210,BRYANT STREET,LINCOLN AVENUE,KINGSLEY AVENUE,100
211,BRYANT STREET,KINGSLEY AVENUE,EMBARCADERO  ROAD,83
212,BRYANT STREET,EMBARCADERO  ROAD,KELLOGG AVENUE,92
213,BRYANT STREET,KELLOGG AVENUE,CHURCHILL  AVENUE,91
214,BRYANT STREET,CHURCHILL AVENUE,COLERIDGE  AVENUE,93
215,BRYANT STREET,COLERIDGE AVENUE,LOWELL AVENUE,93
216,BRYANT STREET,LOWELL AVENUE,TENNYSON AVENUE,93
217,BRYANT STREET,TENNYSON AVENUE,SEALE AVENUE,92
218,BRYANT STREET,SEALE AVENUE,RINCONADA  AVENUE,86
219,BRYANT STREET,RINCONADA  AVENUE,SANTA RITA  AVENUE,87
220,BRYANT STREET,SANTA RITA AVENUE,SANTA RITA  AVENUE,92
221,BRYANT STREET,SANTA RITA AVENUE,WASHINGTON  AVENUE,84
222,BRYANT STREET,WASHINGTON  AVENUE,NORTH CALIFORNIA  AVENUE,84
223,BRYANT STREET,NORTH CALIFORNIA  AVENUE,OREGON  EXPRESSWAY,97
224,BRYANT STREET,OREGON  EXPRESSWAY,COLORADO  AVENUE,92
225,BRYANT STREET,COLORADO AVENUE,EL DORADO  AVENUE,91
226,BRYANT STREET,EL DORADO AVENUE,MATADERO CREEK,87
227,BRYANT STREET,MATADERO CREEK,EL CARMELO  AVENUE,91
228,BRYANT STREET,EL CARMELO  AVENUE,LOMA VERDE  AVENUE,92
229,BRYANT STREET,LOMA VERDE  AVENUE,EL VERANO  AVENUE,91
230,BRYANT STREET,EL VERANO AVENUE,EAST MEADOW  DRIVE,86
231,BRYANT STREET,EAST MEADOW  DRIVE,REDWOOD CIRCLE,92
232,BRYSON AVENUE,MIDDLEFIELD ROAD,END,75
233,BURNHAM WAY,OREGON  EXPRESSWAY,DENNIS DRIVE,83
234,BURNHAM WAY,DENNIS DRIVE,CELIA DRIVE,69
235,BYRON STREET,PALO ALTO AVENUE,HAWTHORNE  AVENUE,67
236,BYRON STREET,HAWTHORNE  AVENUE,EVERETT AVENUE,93
237,BYRON STREET,EVERETT AVENUE,LYTTON AVENUE,93
238,BYRON STREET,UNIVERSITY  AVENUE,HAMILTON AVENUE,92
239,BYRON STREET,LINCOLN AVENUE,KINGSLEY AVENUE,97
240,BYRON STREET,KINGSLEY AVENUE,MELVILLE AVENUE,97
241,BYRON STREET,MELVILLE AVENUE,KELLOGG AVENUE,85
242,BYRON STREET,KELLOGG AVENUE,EMBARCADERO  ROAD,87
243,BYRON STREET,SEALE AVENUE,SANTA RITA  AVENUE,77
244,BYRON STREET,SANTA RITA AVENUE,NORTH CALIFORNIA  AVENUE,76
245,BYRON STREET,NORTH CALIFORNIA  AVENUE,OREGON  EXPRESSWAY,83
246,BYRON STREET,COLORADO AVENUE,END,83
247,BYRON STREET,SAN ANTONIO  AVENUE,END,82
248,CALCATERRA  PLACE,MACKAY DRIVE,"END, WEST",97
249,CALCATERRA  PLACE,MACKAY DRIVE,"END, EAST",97
250,CALIFORNIA  AVENUE,AMHERST STREET,BOWDOIN STREET,98
251,CALIFORNIA  AVENUE,BOWDOIN STREET,COLUMBIA STREET,98
252,CALIFORNIA  AVENUE,COLUMBIA STREET,DARTMOUTH  STREET,98
253,CALIFORNIA  AVENUE,DARTMOUTH  STREET,HANOVER STREET,82
254,CALIFORNIA  AVENUE,HANOVER STREET,HARVARD STREET,80
255,CALIFORNIA  AVENUE,HARVARD STREET,OBERLIN STREET,84
256,CALIFORNIA  AVENUE,OBERLIN STREET,PRINCETON  STREET,86
257,CALIFORNIA  AVENUE,PRINCETON STREET,CORNELL STREET,79
258,CALIFORNIA  AVENUE,CORNELL STREET,WELLESLEY  STREET,79
259,CALIFORNIA  AVENUE,WELLESLEY STREET,WILLIAMS STREET,87
260,CALIFORNIA  AVENUE,WILLIAMS STREET,YALE STREET,88
261,CALIFORNIA  AVENUE,YALE STREET,EL CAMINO REAL,91
262,CALIFORNIA  AVENUE EB,EL CAMINO REAL,ASH STREET,91
263,CALIFORNIA  AVENUE WB,ASH STREET,EL CAMINO REAL,91
264,CALIFORNIA  AVENUE EB,ASH STREET,BIRCH STREET,91
265,CALIFORNIA  AVENUE WB,BIRCH STREET,ASH STREET,91
266,CALIFORNIA  AVENUE EB,BIRCH STREET,PARK BOULEVARD,91
267,CALIFORNIA  AVENUE WB,PARK BOULEVARD,BIRCH STREET,91
268,CALIFORNIA  AVENUE,PARK BOULEVARD,PARK BOULEVARD,91
269,CALIFORNIA  AVENUE,PARK BOULEVARD,END,91
270,NORTH  CALIFORNIA  AVENUE,ALMA STREET,HIGH STREET,96
271,NORTH  CALIFORNIA  AVENUE,HIGH STREET,EMERSON STREET,96
272,NORTH  CALIFORNIA  AVENUE,EMERSON STREET,RAMONA STREET,96
273,NORTH  CALIFORNIA  AVENUE,RAMONA STREET,BRYANT STREET,96
274,NORTH  CALIFORNIA  AVENUE,BRYANT STREET,SOUTH COURT,96
275,NORTH  CALIFORNIA  AVENUE,SOUTH COURT,WAVERLEY STREET,96
276,NORTH  CALIFORNIA  AVENUE,WAVERLEY STREET,COWPER STREET,96
277,NORTH  CALIFORNIA  AVENUE,COWPER STREET,TASSO STREET,96
278,NORTH  CALIFORNIA  AVENUE,TASSO STREET,WEBSTER STREET,96
279,NORTH  CALIFORNIA  AVENUE,WEBSTER STREET,BYRON STREET,96
280,NORTH  CALIFORNIA  AVENUE,BYRON STREET,MIDDLEFIELD ROAD,96
281,NORTH  CALIFORNIA  AVENUE,MIDDLEFIELD ROAD,NEWELL ROAD,91
282,NORTH  CALIFORNIA  AVENUE,NEWELL ROAD,BARBARA DRIVE,91
283,NORTH  CALIFORNIA  AVENUE,BARBARA DRIVE,LOUIS ROAD,91
284,NORTH  CALIFORNIA  AVENUE,LOUIS ROAD,BELLVIEW DRIVE,90
285,NORTH  CALIFORNIA  AVENUE,BELLVIEW DRIVE,GREER ROAD,85
286,NORTH  CALIFORNIA  AVENUE,GREER ROAD,SANTA ANA STREET,91
287,NORTH  CALIFORNIA  AVENUE,SANTA ANA STREET,EMBARCADERO  ROAD,91
288,CAMBRIDGE  AVENUE,YALE STREET,EL CAMINO REAL,53
289,CAMBRIDGE  AVENUE,EL CAMINO REAL,BIRCH STREET,71
290,CAMBRIDGE  AVENUE,BIRCH STREET,PARK BOULEVARD,64
291,CAMPANA DRIVE,LOS ROBLES  AVENUE,ENCINA GRANDE  DRIVE,93
292,CAMPANA DRIVE,ENCINA GRANDE  DRIVE,FLORALES DRIVE,93
293,CAMPESINO  AVENUE,RAMONA STREET,BRYANT STREET,93
294,CAMPESINO  AVENUE,BRYANT STREET,SOUTH COURT,92
295,CAMPESINO  AVENUE,SOUTH COURT,WAVERLEY STREET,92
296,CARDINAL WAY,INDIAN DRIVE,AZTEC WAY,81
297,CARLITOS COURT,BARRON AVENUE,END,67
298,CARLSON CIRCLE,CARLSON CIRCLE,CARLSON CIRCLE,92
299,CARLSON CIRCLE,CARLSON CIRCLE,REDWOOD CIRCLE,83
300,CARLSON CIRCLE,REDWOOD CIRCLE,E. CHARLESTON  ROAD,91
301,CARLSON COURT,E. CHARLESTON  ROAD,ELY PLACE,82
302,CARMEL DRIVE,OREGON  EXPRESSWAY,END,95
303,CAROLINA LANE,PARK BOULEVARD,WILKIE WAY,82
304,CAROLINA LANE,WILKIE WAY,END,89
305,CASS WAY,BARRON AVENUE,END,78
306,CASTILLEJA  AVENUE,CHURCHILL,MANZANITA,93
307,CASTILLEJA  AVENUE,MANZANITA AVENUE,MIRAMONTE  AVENUE,97
308,CASTILLEJA  AVENUE,MIRAMONTE  AVENUE,SEQUOIA AVENUE,98
309,CASTILLEJA  AVENUE,SEQUOIA AVENUE,MARIPOSA AVENUE,93
310,CASTILLEJA  AVENUE,MARIPOSA AVENUE,PARK BOULEVARD,93
311,CEDAR STREET,HOPKINS AVENUE,PARKINSON  AVENUE,75
312,CEDAR STREET,PARKINSON AVENUE,HARKER AVENUE,51
313,CELIA DRIVE,AGNES WAY,BURNHAM WAY,88
314,CENTER DRIVE,CHANNING AVENUE,KENT PLACE,84
315,CENTER DRIVE,KENT PLACE,TEVIS PLACE,84
316,CENTER DRIVE,TEVIS PLACE,MARTIN AVENUE,87
317,CENTER DRIVE,MARTIN AVENUE,PITMAN AVENUE,85
318,CENTER DRIVE,PITMAN AVENUE,FOREST AVENUE,88
319,CENTER DRIVE,FOREST AVENUE,DANA AVENUE,78
320,CENTER DRIVE,DANA AVENUE,HAMILTON AVENUE,81
321,CENTER DRIVE,HAMILTON AVENUE,UNIVERSITY  AVENUE,71
322,CEREZA DRIVE,AMARANTA AVENUE,SOLANA DRIVE,56
323,CERRITO WAY,LOS ROBLES  AVENUE,EL CERRITO ROAD,93
324,CESANO COURT,EL CAMINO REAL,END,98
325,CHABOT TERRACE,W. BAYSHORE ROAD,END,97
326,CHANNING AVENUE,ALMA STREET,HIGH STREET,86
327,CHANNING AVENUE,HIGH STREET,EMERSON STREET,86
328,CHANNING AVENUE,EMERSON STREET,RAMONA STREET,91
329,CHANNING AVENUE,RAMONA STREET,BRYANT STREET,84
330,CHANNING AVENUE,BRYANT STREET,WAVERLEY STREET,89
331,CHANNING AVENUE,WAVERLEY STREET,KIPLING STREET,91
332,CHANNING AVENUE,KIPLING STREET,COWPER STREET,91
333,CHANNING AVENUE,COWPER STREET,WEBSTER STREET,91
334,CHANNING AVENUE,WEBSTER STREET,MIDDLEFIELD ROAD,49
335,CHANNING AVENUE,MIDDLEFIELD ROAD,GUINDA STREET,43
336,CHANNING AVENUE,GUINDA STREET,ADDISON AVENUE,91
337,CHANNING AVENUE,ADDISON AVENUE,LINCOLN AVENUE,91
338,CHANNING AVENUE,LINCOLN AVENUE,MELVILLE AVENUE,91
339,CHANNING AVENUE,MELVILLE AVENUE,HARRIET AVENUE,91
340,CHANNING AVENUE,HARRIET AVENUE,CENTER DRIVE,91
341,CHANNING AVENUE,CENTER DRIVE,HUTCHINSON  AVENUE,91
342,CHANNING AVENUE,HUTCHINSON  AVENUE,SHARON COURT,91
343,CHANNING AVENUE,SHARON COURT,NEWELL ROAD,91
344,CHANNING AVENUE,NEWELL ROAD,DE SOTO DRIVE,91
345,CHANNING AVENUE,DE SOTO DRIVE,STANLEY WAY,91
346,CHANNING AVENUE,STANLEY WAY,ALESTER AVENUE,91
347,CHANNING AVENUE,ALESTER AVENUE,HEATHER LANE,91
348,CHANNING AVENUE,HEATHER LANE,RHODES DRIVE,87
349,CHANNING AVENUE,RHODES DRIVE,GREER ROAD,95
350,CHANNING AVENUE,GREER ROAD,WILDWOOD LANE,91
351,CHANNING AVENUE,WILDWOOD LANE,SAINT FRANCIS  DRIVE,96
352,CHANNING AVENUE,SAINT FRANCIS  DRIVE,SANDALWOOD  COURT,91
353,CHANNING AVENUE,SANDALWOOD  COURT,EDGEWOOD DRIVE,91
354,CHANNING AVENUE,EDGEWOOD DRIVE,W. BAYSHORE  ROAD,91
355,CHAUCER STREET,CITY LIMIT,PALO ALTO AVENUE,47
356,CHAUCER STREET,PALO ALTO AVENUE,UNIVERSITY  AVENUE,91
357,CHAUCER STREET,UNIVERSITY  AVENUE,HAMILTON AVENUE,83
358,CHERRY OAKS  AVENUE,ARASTRADERO  ROAD,END,93
359,CHESTNUT  AVENUE,ASH STREET,BIRCH STREET,42
360,CHESTNUT  AVENUE,BIRCH STREET,PARK BOULEVARD,31
361,CHIMALUS DRIVE,MATADERO AVENUE,TIPPAWINGO  STREET,92
362,CHIMALUS DRIVE,TIPPAWINGO  STREET,END,91
363,CHRISTINE DRIVE,MIDDLEFIELD ROAD,ROSS ROAD,92
364,CHRISTOPHER  COURT,DAKE AVENUE,END,97
365,CHARLESTON  COURT,E. CHARLESTON  ROAD,END,86
366,CHARLESTON  ROAD,ALMA STREET,WRIGHT PLACE,88
367,CHARLESTON  ROAD,WRIGHT PLACE,MUMFORD PLACE,82
368,CHARLESTON  ROAD,MUMFORD PLACE,CARLSON COURT,84
369,CHARLESTON  ROAD,CARLSON COURT,NELSON DRIVE,82
370,CHARLESTON  ROAD,NELSON DRIVE,MIDDLEFIELD ROAD,83
371,CHARLESTON  ROAD,MIDDLEFIELD ROAD,CHARLESTON  COURT,83
372,CHARLESTON  ROAD,CHARLESTON  COURT,GROVE AVENUE,79
373,CHARLESTON  ROAD,GROVE AVENUE,LOUIS ROAD,72
374,CHARLESTON  ROAD,LOUIS ROAD,FABIAN WAY,77
375,CHARLESTON  ROAD,FABIAN WAY,SAN ANTONIO  AVENUE,90
